Ticker,Role Name,Role Rank,Role Rank Name,Total Pay,Base Pay,Stock,Bonus
INTC,data-scientist,3,Grade 7,171200.0,141300.0,21300.0,8600.0
INTC,data-scientist,4,"Grade 8
Staff DS",235300.0,172800.0,47000.0,15500.0
INTC,data-scientist,5,"Grade 9
Senior Staff DS",253000.0,185900.0,39500.0,27600.0
INTC,data-scientist,6,"Grade 10
Principal DS",,,,
INTC,data-scientist,7,"Grade 11
Senior Principal DS",,,,
INTC,marketing,1,Grade 5,91000.0,85700.0,667.0,4700.0
INTC,marketing,2,Grade 6,138900.0,121100.0,5700.0,12200.0
INTC,marketing,3,Grade 7,156600.0,135800.0,10200.0,10600.0
INTC,marketing,4,Grade 8,192800.0,159000.0,16000.0,17900.0
INTC,marketing,5,Grade 9,258200.0,194100.0,23800.0,40400.0
INTC,marketing,6,Grade 10,306000.0,200000.0,41700.0,64300.0
INTC,marketing,7,Grade 11,,,,
INTC,mechanical-engineer,1,Grade 5,106700.0,97100.0,1800.0,7800.0
INTC,mechanical-engineer,2,Grade 6,139100.0,116900.0,16800.0,5400.0
INTC,mechanical-engineer,3,Grade 7,171000.0,140300.0,22600.0,8100.0
INTC,mechanical-engineer,4,"Grade 8
Staff Engineer",203500.0,158000.0,34300.0,11100.0
INTC,mechanical-engineer,5,"Grade 9
Senior Staff Eng",255300.0,185600.0,44000.0,25800.0
INTC,mechanical-engineer,6,"Grade 10
Principal Eng",332500.0,228500.0,60000.0,44000.0
INTC,mechanical-engineer,7,"Grade 11
Senior Principal Eng",,,,
INTC,software-engineering-manager,1,Grade 7,209000.0,153000.0,35500.0,20500.0
INTC,software-engineering-manager,2,Grade 8,252900.0,189500.0,39700.0,23800.0
INTC,software-engineering-manager,3,"Grade 9
Senior Manager",324700.0,235800.0,64500.0,24300.0
INTC,software-engineering-manager,4,"Grade 10
Director",422900.0,268300.0,93500.0,61100.0
INTC,software-engineering-manager,5,"Grade 11
Senior Director",571300.0,308800.0,154100.0,108400.0
INTC,product-designer,1,Grade 5,129000.0,105400.0,17000.0,6700.0
INTC,product-designer,2,Grade 6,148800.0,131300.0,8800.0,8800.0
INTC,product-designer,3,Grade 7,177300.0,137600.0,30300.0,9400.0
INTC,product-designer,4,Grade 8,207300.0,159700.0,38300.0,9300.0
INTC,product-designer,5,Grade 9,271000.0,198900.0,38100.0,34000.0
INTC,product-designer,6,Grade 10,361800.0,241800.0,105000.0,15000.0
INTC,product-designer,7,Grade 11,,,,
INTC,product-designer,8,Fellow,,,,
MSTR,software-engineer,1,"Associate Software Engineer
(Entry Level)",,,,
MSTR,software-engineer,2,Software Engineer,113800.0,102800.0,3900.0,7100.0
MSTR,software-engineer,3,Senior Software Engineer,143900.0,130800.0,4900.0,8200.0
MSTR,software-engineer,4,Staff Software Engineer,,,,
MSTR,software-engineer,5,Principal Software Engineer,230000.0,165000.0,51000.0,14000.0
MSTR,software-engineer,6,Architect,243800.0,193800.0,50000.0,0.0
MSTR,software-engineer,7,Senior Architect,270000.0,210000.0,26700.0,33300.0
MSTR,software-engineer,8,Principal Architect,,,,
MSTR,sales,,,208950.0,,,
MSTR,sales-engineer,1,Associate Sales Engineer,,,,
MSTR,sales-engineer,2,Sales Engineer,,,,
MSTR,sales-engineer,3,Senior Sales Engineer,,,,
MSTR,sales-engineer,4,Staff Sales Engineer,,,,
MSTR,sales-engineer,5,Principal Sales Engineer,300000.0,200000.0,15000.0,85000.0
MSTR,project-manager,,,200000.0,,,
MSTR,product-manager,,,285600.0,,,
MSTR,data-scientist,,,225400.0,,,
MSTR,business-analyst,,,129350.0,,,
MSTR,software-engineering-manager,,hidden,320000.0,190000.0,100000.0,30000.0
MSTR,administrative-assistant,,,140700.0,,,
MSTR,product-designer,,,107100.0,,,
SNPS,software-engineer,1,"64
Software Engineer I
(Entry Level)",94100.0,94100.0,0.0,0.0
SNPS,software-engineer,2,"65
Software Engineer II",123800.0,115000.0,1100.0,7800.0
SNPS,software-engineer,3,"66
Senior Software Engineer I",161800.0,142100.0,6700.0,13000.0
SNPS,software-engineer,4,"67
Senior Software Engineer II",194000.0,163000.0,14100.0,17000.0
SNPS,software-engineer,5,"68
Staff Software Engineer",223300.0,177400.0,26600.0,19300.0
SNPS,software-engineer,6,"69
Senior Staff Software Engineer",295800.0,218800.0,56700.0,20300.0
SNPS,software-engineer,7,"100
Principal Software Engineer",400600.0,235200.0,95700.0,69800.0
SNPS,software-engineer,8,"110
Scientist",552500.0,272500.0,180000.0,100000.0
SNPS,cybersecurity-analyst,1,64,,,,
SNPS,cybersecurity-analyst,2,65,125100.0,119100.0,0.0,6000.0
SNPS,cybersecurity-analyst,3,66,139400.0,118900.0,7500.0,13000.0
SNPS,cybersecurity-analyst,4,67,,,,
SNPS,cybersecurity-analyst,5,68,,,,
SNPS,cybersecurity-analyst,6,69,,,,
SNPS,cybersecurity-analyst,7,100,,,,
SNPS,cybersecurity-analyst,8,110,,,,
SNPS,solution-architect,1,64,,,,
SNPS,solution-architect,2,65,312000.0,210000.0,60000.0,42000.0
SNPS,solution-architect,3,66,,,,
SNPS,solution-architect,4,67,,,,
SNPS,solution-architect,5,68,,,,
SNPS,solution-architect,6,69,290500.0,204300.0,47200.0,38900.0
SNPS,solution-architect,7,100,,,,
SNPS,solution-architect,8,110,,,,
SNPS,hardware-engineer,1,"64
Hardware Engineer I",92700.0,92700.0,0.0,0.0
SNPS,hardware-engineer,2,"65
Hardware Engineer II",118700.0,113500.0,455.0,4700.0
SNPS,hardware-engineer,3,"66
Senior Hardware Engineer I",160600.0,153700.0,981.0,5900.0
SNPS,hardware-engineer,4,"67
Senior Hardware Engineer II",161500.0,144500.0,2900.0,14100.0
