ticker,start_date,end_date,sentiment_score
XLNX,2025-04-09,2025-04-15,0
BKNG,2025-04-09,2025-04-15,0.1
MXIM,2025-04-09,2025-04-15,0
PAYC,2025-04-09,2025-04-15,0
CTAS,2025-04-09,2025-04-15,0
TECH,2025-04-09,2025-04-15,0
WDAY,2025-04-09,2025-04-15,0.05
AAPL,2025-04-16,2025-04-22,-0.02
MSFT,2025-04-16,2025-04-22,0
GOOG,2025-04-16,2025-04-22,0
AMZN,2025-04-16,2025-04-22,0
TSLA,2025-04-16,2025-04-22,0.02
META,2025-04-16,2025-04-22,0
NVDA,2025-04-16,2025-04-22,-0.1
NFLX,2025-04-16,2025-04-22,0
PEP,2025-04-16,2025-04-22,0
ADBE,2025-04-16,2025-04-22,0
INTC,2025-04-16,2025-04-22,0
CSCO,2025-04-16,2025-04-22,0
CMCSA,2025-04-16,2025-04-22,0.09
AVGO,2025-04-16,2025-04-22,0
PYPL,2025-04-16,2025-04-22,0
TXN,2025-04-16,2025-04-22,0
COST,2025-04-16,2025-04-22,0
QCOM,2025-04-16,2025-04-22,0
AMGN,2025-04-16,2025-04-22,0.51
SBUX,2025-04-16,2025-04-22,0
AMD,2025-04-16,2025-04-22,0.59
HON,2025-04-16,2025-04-22,0
GILD,2025-04-16,2025-04-22,0.65
ISRG,2025-04-16,2025-04-22,0
BKNG,2025-04-16,2025-04-22,0
ADP,2025-04-16,2025-04-22,0
MDLZ,2025-04-16,2025-04-22,0
VRTX,2025-04-16,2025-04-22,0
REGN,2025-04-16,2025-04-22,0.29
LRCX,2025-04-16,2025-04-22,0
FISV,2025-04-16,2025-04-22,0
INTU,2025-04-16,2025-04-22,0
MRNA,2025-04-16,2025-04-22,0
MU,2025-04-16,2025-04-22,0.34
ZM,2025-04-16,2025-04-22,0
IDXX,2025-04-16,2025-04-22,0
ASML,2025-04-16,2025-04-22,0.15
ATVI,2025-04-16,2025-04-22,0
KHC,2025-04-16,2025-04-22,0
BIIB,2025-04-16,2025-04-22,0
MELI,2025-04-16,2025-04-22,0
DOCU,2025-04-16,2025-04-22,0
ADSK,2025-04-16,2025-04-22,0.24
EA,2025-04-16,2025-04-22,0
WDAY,2025-04-16,2025-04-22,0.09
SNPS,2025-04-16,2025-04-22,0
ILMN,2025-04-16,2025-04-22,-0.13
ROST,2025-04-16,2025-04-22,0
CTAS,2025-04-16,2025-04-22,0
EBAY,2025-04-16,2025-04-22,0
KLAC,2025-04-16,2025-04-22,0
MNST,2025-04-16,2025-04-22,0
CDNS,2025-04-16,2025-04-22,0
CTSH,2025-04-16,2025-04-22,0
ORLY,2025-04-16,2025-04-22,0
DLTR,2025-04-16,2025-04-22,0
LULU,2025-04-16,2025-04-22,0.11
FAST,2025-04-16,2025-04-22,0
XEL,2025-04-16,2025-04-22,0
CTXS,2025-04-16,2025-04-22,0
NXPI,2025-04-16,2025-04-22,0
PCAR,2025-04-16,2025-04-22,0
SIRI,2025-04-16,2025-04-22,0
MAR,2025-04-16,2025-04-22,0
SGEN,2025-04-16,2025-04-22,0
EXC,2025-04-16,2025-04-22,0.0
ODFL,2025-04-16,2025-04-22,0
PAYX,2025-04-16,2025-04-22,0.0
ALGN,2025-04-16,2025-04-22,0
SWKS,2025-04-16,2025-04-22,0.21
TEAM,2025-04-16,2025-04-22,0
WBA,2025-04-16,2025-04-22,0
ADI,2025-04-16,2025-04-22,0.12
VRSK,2025-04-16,2025-04-22,0
CDW,2025-04-16,2025-04-22,0
BIDU,2025-04-16,2025-04-22,0.34
CHTR,2025-04-16,2025-04-22,0
VRSN,2025-04-16,2025-04-22,0
INCY,2025-04-16,2025-04-22,0
WDAY,2025-04-16,2025-04-22,0.09
ANSS,2025-04-16,2025-04-22,0
CPRT,2025-04-16,2025-04-22,0
UAL,2025-04-16,2025-04-22,0.4
TTWO,2025-04-16,2025-04-22,0
REG,2025-04-16,2025-04-22,0
HPE,2025-04-16,2025-04-22,0
EXPE,2025-04-16,2025-04-22,0.47
MCHP,2025-04-16,2025-04-22,0
VRSN,2025-04-16,2025-04-22,0
XLNX,2025-04-16,2025-04-22,0
BKNG,2025-04-16,2025-04-22,0
MXIM,2025-04-16,2025-04-22,0
PAYC,2025-04-16,2025-04-22,0
CTAS,2025-04-16,2025-04-22,0
TECH,2025-04-16,2025-04-22,0.18
WDAY,2025-04-16,2025-04-22,0.09
AAPL,2025-04-23,2025-04-29,0.22
MSFT,2025-04-23,2025-04-29,0.18
GOOG,2025-04-23,2025-04-29,-0.31
AMZN,2025-04-23,2025-04-29,0
TSLA,2025-04-23,2025-04-29,0
META,2025-04-23,2025-04-29,0
NVDA,2025-04-23,2025-04-29,0
NFLX,2025-04-23,2025-04-29,0
PEP,2025-04-23,2025-04-29,0
ADBE,2025-04-23,2025-04-29,0
INTC,2025-04-23,2025-04-29,0
CSCO,2025-04-23,2025-04-29,0
CMCSA,2025-04-23,2025-04-29,0
AVGO,2025-04-23,2025-04-29,0.34
PYPL,2025-04-23,2025-04-29,0
TXN,2025-04-23,2025-04-29,0
COST,2025-04-23,2025-04-29,0
QCOM,2025-04-23,2025-04-29,0
AMGN,2025-04-23,2025-04-29,0
