Ticker,Company,City,State,Address,Market Cap,Total Revenue,Net Profit (TTM),Dividend Yield,Dividend Rate,Full-Time Employees,Sector,Industry,Trailing PE,Forward PE,Beta
ROP,"Roper Technologies, Inc.",Sarasota,FL,6496 University Parkway,54708715520,7468100096,1539600000,0.64,3.3,18200,Technology,Software - Application,35.67579,25.393606,1.001
FAST,Fastenal Company,Winona,MN,2001 Theurer Boulevard,52739641344,7774400000,1189100032,1.88,0.88,21807,Industrials,Industrial Distribution,44.187504,20.984018,0.94
DDOG,"Datadog, Inc.",New York,NY,620 8th Avenue,55297024000,3016056064,124580000,0.0,0.0,6500,Technology,Software - Application,440.44443,78.108376,1.214
PCAR,PACCAR Inc,Bellevue,WA,777 - 106th Avenue N.E.,48897630208,31099600896,3072999936,1.39,1.32,30100,Industrials,Farm & Heavy Construction Machinery,15.972556,12.0,0.946
IDXX,"IDEXX Laboratories, Inc.",Westbrook,ME,One IDEXX Drive,49471700992,4037714944,985656000,0.0,0.0,11000,Healthcare,Diagnostics & Research,51.48709,51.70234,1.578
EA,Electronic Arts Inc.,Redwood City,CA,209 Redwood Shores Parkway,49873641472,7473999872,1042000000,0.38,0.76,14500,Communication Services,Electronic Gaming & Multimedia,50.004875,23.448946,0.767
ROST,"Ross Stores, Inc.",Dublin,CA,5130 Hacienda Drive,48136736768,21497755648,2062835968,1.08,1.62,107000,Consumer Cyclical,Apparel Retail,23.493649,22.124065,1.183
XEL,Xcel Energy Inc.,Minneapolis,MN,414 Nicollet Mall,48156876800,13957000192,2072999936,2.81,2.28,11380,Utilities,Utilities - Regulated Electric,22.555403,21.259792,0.378
TTWO,"Take-Two Interactive Software, Inc.",New York,NY,110 West 44th Street,46578728960,5799199744,-4228800000,0.0,0.0,12928,Communication Services,Electronic Gaming & Multimedia,N/A,32.20663,1.017
BKR,Baker Hughes Company,Houston,TX,575 North Dairy Ashford Road,44655390720,27608999936,3048000000,1.92,0.92,57000,Energy,Oil & Gas Equipment & Services,14.802287,17.624514,0.98
EXC,Exelon Corporation,Chicago,IL,10 South Dearborn Street,47698165760,23765999616,2654000128,3.43,1.6,20000,Utilities,Utilities - Regulated Electric,17.956844,17.956844,0.486
ZS,"Zscaler, Inc.",San Jose,CA,120 Holger Way,49222057984,2673114880,-41478000,0.0,0.0,7923,Technology,Software - Infrastructure,N/A,87.3427,1.062
WBD,"Warner Bros. Discovery, Inc.",New York,NY,230 Park Avenue South,43301253120,38441000960,772000000,0.0,0.0,35000,Communication Services,Entertainment,56.419353,-134.53847,1.737
PAYX,"Paychex, Inc.",Rochester,NY,911 Panorama Trail South,45328666624,5793200128,1613699968,3.45,4.32,19000,Technology,Software - Application,28.23991,23.809072,0.913
FANG,"Diamondback Energy, Inc.",Midland,TX,500 West Texas Avenue,40616345600,13409999872,3816999936,2.7,3.9,1983,Energy,Oil & Gas E&P,10.167028,9.583674,1.015
CPRT,"Copart, Inc.",Dallas,TX,14185 Dallas Parkway,42459222016,4646958080,1552449024,0.0,0.0,13800,Industrials,Specialty Business Services,27.59434,25.215517,1.034
CCEP,Coca-Cola Europacific Partners PLC,Uxbridge,,Pemberton House,40191660032,20884000768,1534000000,2.5,2.19,41000,Consumer Defensive,Beverages - Non-Alcoholic,22.570694,19.296703,0.584
TEAM,Atlassian Corporation,Sydney,NSW,341 George Street,38014898176,5215304192,-256687008,0.0,0.0,13813,Technology,Software - Application,N/A,35.257908,0.923
CHTR,"Charter Communications, Inc.",Stamford,CT,400 Washington Blvd.,35539611648,55222001664,5264000000,0.0,0.0,94500,Communication Services,Telecom Services,7.1245894,7.2719398,1.051
MCHP,Microchip Technology Incorporated,Chandler,AZ,2355 West Chandler Boulevard,33033793536,4235800064,-178400000,2.76,1.82,19400,Technology,Semiconductors,N/A,23.542309,1.535
KDP,Keurig Dr Pepper Inc.,Burlington,MA,53 South Avenue,35013668864,15758999552,1536000000,3.56,0.92,29400,Consumer Defensive,Beverages - Non-Alcoholic,22.809734,12.573171,0.437
VRSK,"Verisk Analytics, Inc.",Jersey City,NJ,545 Washington Boulevard,34247632896,2986500096,909299968,0.75,1.8,7800,Industrials,Consulting Services,38.06289,33.62483,0.856
CSGP,"CoStar Group, Inc.",Arlington,VA,1201 Wilson Blvd,32125407232,2915500032,104200000,0.0,0.0,6593,Real Estate,Real Estate Services,291.65387,67.70536,0.874
GEHC,GE HealthCare Technologies Inc.,Chicago,IL,500 West Monroe Street,32331442176,19967000576,2240000000,0.19,0.14,53000,Healthcare,Health Information Services,14.5112705,15.163812,1.276
CTSH,Cognizant Technology Solutions Corporation,Teaneck,NJ,300 Frank West Burr Boulevard,32326928384,20486000640,2436000000,1.81,1.24,343800,Technology,Information Technology Services,13.425964,13.26453,0.945
KHC,The Kraft Heinz Company,Pittsburgh,PA,One PPG Place,29743847424,25309999104,-5271000064,6.39,1.6,36000,Consumer Defensive,Packaged Foods,N/A,8.185668,0.127
ODFL,"Old Dominion Freight Line, Inc.",Thomasville,NC,500 Old Dominion Way,28389513216,5638622208,1095010048,0.79,1.12,21719,Industrials,Trucking,26.434443,22.894915,1.194
TTD,"The Trade Desk, Inc.",Ventura,CA,42 North Chestnut Street,25601048576,2679088128,417193984,0.0,0.0,3522,Communication Services,Advertising Agencies,63.08434,27.129536,1.383
DXCM,"DexCom, Inc.",San Diego,CA,6340 Sequence Drive,25717542912,4300800000,571500032,0.0,0.0,10200,Healthcare,Medical Devices,46.1831,32.30542,1.476
BIIB,Biogen Inc.,Cambridge,MA,225 Binney Street,21245921280,9996999680,1530499968,0.0,0.0,7605,Healthcare,Drug Manufacturers - General,13.880269,8.698079,0.125
LULU,lululemon athletica inc.,Vancouver,BC,1818 Cornwall Avenue,19849453568,10904036352,1785750016,0.0,0.0,39000,Consumer Cyclical,Apparel Retail,11.433061,11.210984,1.072
CDW,CDW Corporation,Vernon Hills,IL,200 N. Milwaukee Avenue,19090962432,21878300672,1076700032,1.65,2.5,15100,Technology,Information Technology Services,18.117537,14.393774,1.003
ON,ON Semiconductor Corporation,Scottsdale,AZ,5701 North Pima Road,18980483072,6398799872,465800000,0.0,0.0,26400,Technology,Semiconductors,44.2,10.743055,1.489
GFS,GLOBALFOUNDRIES Inc.,Malta,NY,400 Stonebreak Road Extension,18513854464,6841999872,-115000000,0.0,0.0,13000,Technology,Semiconductors,N/A,18.636871,1.488
