company name,company ticker,company location,role name,role rank,role level,total pay (USD),base pay (USD),stock (USD),bonus (USD),upper bound (USD),lower bound (USD),years at company,years of experience
microstrategy,MSTR,United States,product-designer,,,107100,,,,115500,98700,,
synopsys,SNPS,United States,software-engineer,1,"64
Software Engineer I
(Entry Level)",94100,94100,0,0,,,,
synopsys,SNPS,United States,software-engineer,2,"65
Software Engineer II",123800,115000,1100,7800,,,,
synopsys,SNPS,United States,software-engineer,3,"66
Senior Software Engineer I",161800,142100,6700,13000,,,,
synopsys,SNPS,United States,software-engineer,4,"67
Senior Software Engineer II",194000,163000,14100,17000,,,,
synopsys,SNPS,United States,software-engineer,5,"68
Staff Software Engineer",223300,177400,26600,19300,,,,
synopsys,SNPS,United States,software-engineer,6,"69
Senior Staff Software Engineer",295800,218800,56700,20300,,,,
synopsys,SNPS,United States,software-engineer,7,"100
Principal Software Engineer",400600,235200,95700,69800,,,,
synopsys,SNPS,United States,software-engineer,8,"110
Scientist",552500,272500,180000,100000,,,,
synopsys,SNPS,United States,cybersecurity-analyst,1,64,,,,,,,,
synopsys,SNPS,United States,cybersecurity-analyst,2,65,125100,119100,0,6000,,,,
synopsys,SNPS,United States,cybersecurity-analyst,3,66,139400,118900,7500,13000,,,,
synopsys,SNPS,United States,cybersecurity-analyst,4,67,,,,,,,,
synopsys,SNPS,United States,cybersecurity-analyst,5,68,,,,,,,,
synopsys,SNPS,United States,cybersecurity-analyst,6,69,,,,,,,,
synopsys,SNPS,United States,cybersecurity-analyst,7,100,,,,,,,,
synopsys,SNPS,United States,cybersecurity-analyst,8,110,,,,,,,,
synopsys,SNPS,United States,solution-architect,1,64,,,,,,,,
synopsys,SNPS,United States,solution-architect,2,65,312000,210000,60000,42000,,,,
synopsys,SNPS,United States,solution-architect,3,66,,,,,,,,
synopsys,SNPS,United States,solution-architect,4,67,,,,,,,,
synopsys,SNPS,United States,solution-architect,5,68,,,,,,,,
synopsys,SNPS,United States,solution-architect,6,69,290500,204300,47200,38900,,,,
synopsys,SNPS,United States,solution-architect,7,100,,,,,,,,
synopsys,SNPS,United States,solution-architect,8,110,,,,,,,,
synopsys,SNPS,United States,hardware-engineer,1,"64
Hardware Engineer I",92700,92700,0,0,,,,
synopsys,SNPS,United States,hardware-engineer,2,"65
Hardware Engineer II",118700,113500,455,4700,,,,
synopsys,SNPS,United States,hardware-engineer,3,"66
Senior Hardware Engineer I",160600,153700,981,5900,,,,
synopsys,SNPS,United States,hardware-engineer,4,"67
Senior Hardware Engineer II",161500,144500,2900,14100,,,,
synopsys,SNPS,United States,hardware-engineer,5,"68
Staff Hardware Engineer",199900,165100,17300,17500,,,,
synopsys,SNPS,United States,hardware-engineer,6,"69
Senior Staff Hardware Engineer",248000,184400,31400,32299,,,,
synopsys,SNPS,United States,hardware-engineer,7,"100
Principal Hardware Engineer",336200,225800,56900,53600,,,,
synopsys,SNPS,United States,hardware-engineer,8,"110
Synopsys Fellow",,,,,,,,
synopsys,SNPS,United States,electrical-engineer,1,64,,,,,,,,
synopsys,SNPS,United States,electrical-engineer,2,65,,,,,,,,
synopsys,SNPS,United States,electrical-engineer,3,66,,,,,,,,
synopsys,SNPS,United States,electrical-engineer,4,67,,,,,,,,
synopsys,SNPS,United States,electrical-engineer,5,68,,,,,,,,
synopsys,SNPS,United States,electrical-engineer,6,69,290500,200000,55000,35500,,,,
synopsys,SNPS,United States,electrical-engineer,7,100,,,,,,,,
synopsys,SNPS,United States,electrical-engineer,8,110,,,,,,,,
synopsys,SNPS,United States,product-manager,1,64,,,,,,,,
synopsys,SNPS,United States,product-manager,2,65,,,,,,,,
synopsys,SNPS,United States,product-manager,3,66,,,,,,,,
synopsys,SNPS,United States,product-manager,4,67,,,,,,,,
synopsys,SNPS,United States,product-manager,5,68,,,,,,,,
synopsys,SNPS,United States,product-manager,6,69,284000,201800,47500,34700,,,,
synopsys,SNPS,United States,product-manager,7,100,342700,220000,56700,66000,,,,
synopsys,SNPS,United States,product-manager,8,110,,,,,,,,
synopsys,SNPS,United States,technical-program-manager,1,64,,,,,,,,
synopsys,SNPS,United States,technical-program-manager,2,65,,,,,,,,
synopsys,SNPS,United States,technical-program-manager,3,66,,,,,,,,
synopsys,SNPS,United States,technical-program-manager,4,67,,,,,,,,
synopsys,SNPS,United States,technical-program-manager,5,68,240000,170000,45000,25000,,,,
synopsys,SNPS,United States,technical-program-manager,6,69,273200,195000,40000,38200,,,,
synopsys,SNPS,United States,technical-program-manager,7,100,,,,,,,,
synopsys,SNPS,United States,technical-program-manager,8,110,,,,,,,,
synopsys,SNPS,United States,product-design-manager,,100,330000,330000,0,0,,,20 Years,22 Years
